lab_id,latitude,longitude,field_ref,ph,ec,n_pct ,oc_pct,ca,mg,k,p_ppm,fe,zn,mn,cu,cec
53A,-0.11729,34.4484,KS-64 0-30,6.03,0.07,0.18,1.76,1.00,3.22,0.41,17.9,38.48,1.49,62.8,0.67,6.6
54A,-0.15058,34.44355,KS-65 0-30,5.98,0.06,0.18,0.78,1.26,3.63,0.22,5.8,37.93,1.40,73.7,0.67,7.1
55A,-0.11251,34.4888,KS-68 0-30,6.49,0.09,0.20,1.27,1.92,3.67,0.46,6.5,30.22,1.47,115.1,1.01,8.1
56A,-0.07283,34.53159,KS-69 0-30,5.27,0.13,0.17,1.15,1.37,4.51,0.53,2.3,84.5,2.05,75.6,0.67,8.0
57A,-0.21013,34.95439,KS-70 0-30,6.02,0.22,0.24,1.01,3.35,4.69,0.78,17.9,119.89,1.69,99.4,0.87,10.4
58A,-0.1723,34.91371,KS-71 0-30,6.08,0.18,0.38,1.75,3.79,4.94,0.89,43.1,35.57,1.62,90.1,2.42,11.0
59A,-0.0924,34.58397,KS-72 0-30,5.83,0.07,0.17,1.88,1.64,3.89,0.34,10.4,7.24,1.54,33.2,0.67,7.6
59B,-0.0924,34.58397,KS-72 30-60,5.62,0.06,0.14,1.15,1.74,4.47,0.22,6.5,3.26,1.46,23.9,0.87,8.1
60A,-0.11669,34.5575,KS-73 0-30,5.59,0.20,0.15,0.97,0.93,4.13,0.51,20.0,81.83,1.73,63.4,0.94,8.4
61A,-0.0667,35.1347,KS-74 0-30,6.01,0.11,0.24,2.05,3.97,4.77,1.01,64.5,105.67,2.18,92.3,0.54,14.0
62A,-0.03679,35.20363,KS-75 0-30,5.81,0.07,0.29,2.94,1.83,3.51,0.95,2.7,115.28,2.29,81.1,1.01,9.9
62B,-0.03679,35.20363,KS-75 30-60,6.06,0.06,0.26,2.53,1.90,3.99,0.34,7.2,111.98,2.83,41.4,1.21,8.1
63A,-0.1274,34.84158,KS-76 0-30,5.94,0.09,0.15,2.08,3.34,4.55,0.65,4.3,78.9,2.25,37.6,0.85,10.1
64A,-0.11012,34.62682,KS-77 0-30,6.38,0.23,0.22,2.25,3.62,5.13,0.42,24.2,110.2,3.45,223.0,0.73,11.1
65A,-0.07851,34.97995,KS-79 0-30,6.14,0.09,0.27,1.36,3.46,4.73,0.62,18.4,54.12,2.32,72.8,1.25,10.5
66A,-0.06667,34.9962,KS-80 0-30,6.17,0.18,0.36,2.79,4.59,5.09,1.03,63.5,92.01,2.06,113.2,0.96,12.3
67A,-0.05482,35.01244,KS-81 0-30,6.27,0.15,0.32,2.98,3.53,4.77,0.55,4.5,89.05,1.97,88.0,0.72,10.4
68A,-0.06267,35.12339,KS-82 0-30,6.88,0.09,0.27,1.17,3.03,4.89,0.81,60.6,60.55,1.35,57.4,0.88,10.3
68B,-0.06267,35.12339,KS-82 30-60,6.1,0.18,0.21,1.09,2.35,4.86,0.56,46.3,54.67,1.74,55.8,0.64,9.5
69A,-0.12539,35.12056,KS-83 0-30,5.69,0.09,0.27,3.12,3.80,4.91,0.92,19.9,60.93,1.89,68.4,0.73,11.3
70A,-0.1881,35.11772,KS-84 0-30,5.58,0.13,0.21,1.87,1.23,4.48,0.90,4.5,16.47,2.62,160.3,0.64,7.9
71A,-0.18797,35.18,KS-85 0-30,5.42,0.08,0.16,1.72,1.26,4.61,0.92,5.6,0.92,1.42,144.2,1.25,8.7
71B,-0.18797,35.18,KS-85 30-60,5.32,0.02,0.12,1.01,1.14,3.32,0.44,4.7,41.24,1.28,87.6,0.62,6.3
72A,-0.08598,35.02499,KS-100 0-30,5.97,0.11,0.28,2.29,3.43,4.61,0.61,5.6,146.1,1.58,160.6,0.73,10.2
72B,-0.08598,35.02499,KS-100 30-60,5.86,0.13,0.22,2.08,3.41,4.69,0.64,2.3,106.91,1.24,136.2,0.76,10.4
73A,-0.05012,35.21541,KS-101 0-30,6.28,0.39,0.41,2.34,4.10,5.14,1.00,106.5,95.38,1.90,234.7,1.12,12.0
